ID1;cod_provincia;sector;ambito;claveseccion;idalumno;ap01_01;ap01_02;ap02;ap03;ap04;ap05;ap06;ap07;ap08_a;ap08_b;ap08_c;ap08_d;ap08_e;ap08_f;ap08_g;ap08_h;ap08_i;ap09;ap10;ap11_01;ap11_02;ap11_03;ap11_04;ap11_05;ap11_06;ap11_07;ap11_08;ap12;ap13;ap14_01;ap14_02;ap15;ap16;ap17;ap18_01;ap18_02;ap18_03;ap19;ap21;ap22;ap23_01;ap23_02;ap23_03;ap23_04;ap23_05;ap23_06;ap24;ap25_01;ap25_02;ap25_03;ap26;ap27_a;ap27_b;ap27_c;ap27_d;ap27_e;ap27_f;ap28_01;ap28_02;ap28_03;ap28_04;ap29_01;ap29_02;ap29_03;ap29_04;ap29_05;ap29_06;ap29_07;ap30;ap31_01;ap31_02;ap31_03;ap31_04;ap31_05;ap31_06;ap32_a;ap32_b;ap32_c;ap32_d;ap32_e;ap32_f;ap33_01_a;ap33_02_a;ap33_03_a;ap33_04_a;ap33_01_b;ap33_02_b;ap33_03_b;ap33_04_b;ap33_01bis;ap33_02bis;ap33_03bis;ap33_04bis;ap33_05bis;ap33_06bis;ap33_07bis;ap33_08bis;ap33_09bis;ap33_10bis;ap33_11bis;ap34;ap35_01;ap35_02;ap35_03;ap35_04;ap35_05;ap36_a;ap36_b;ap36_c;ap36_d;ap36_e;ap36_f;ap37_a;ap37_b;ap37_c;ap37_d;ap37_e;ap37_f;ap37_g;ap37_h;ap37_i;ap37_j;ap37_k;ap37_l;ap37_m;ap37_n;ap38_a;ap38_b;ap38_c;ap38_d;ap38_e;ap38_f;ap38_g;ap38_h;ap38_i;ap38_j;ap38_k;ap38_l;ap38_m;ap38_n;ap39_01;ap39_02;ap39_03;ap39_04;ap40_01;ap40_02;ap40_03;ap40_04;ap40_05;ap40_06;ap41_01;ap41_02;ap41_03;ap41_04;ap41_05;ap41_06;ap41_07;ap41_08;ap41_09;ap41_10;ap41_11;ap42_01;ap42_02;ap42_03;ap42_04;ap43_a;ap43_b;ap43_c;ap43_d;ap43_e;ap43_f;ap43_g;ap43_h;ap44_01;ap44_02;ap44_03;ap44_04;ap44_05;ap45;ap46_01;ap46_02;ap46_03;ap46_04;ap46_05;ap47_01;ap47_02;ap47_03;ap47_04;ap47_05;ap47_06;ap47_07;ap47_08;ap47_09;ap47_10;ap47_11;ap47_12;ap48_a;ap48_b;ap48_c;ap48_d;ap48_e;ap48_f;ap48_g;ap48_h;ap48_i;ap49_01;ap49_02;ap50_01;ap50_02;ap50_03;ap50_04;ap50_05;ap51_01;ap51_02;ap51_03;ap51_04;ap51_05;ap51_06;ap51_07;ap51_08;ap51_09;ap51_10;ponder;lpondera;mpondera;ldesemp;mdesemp;TEL;TEM;modelo;isocioa_puntaje;isocioa;isocioal_puntaje;isocioal;isocioam_puntaje;isocioam;repitencia_dicotomica;jardín;ap37_dicotomica;ap29_01.dico;ap29_02.dico;ap29_03.dico;ap29_04.dico;ap29_05.dico;ap29_06.dico;ap29_07.dico;ap26_rec;trabaja_fuera_hogar;trabaja_fuera_hogar_remunerado;migración;edadA_junio2019;sobreedad;infraestructura;iinfraestructura;ap42_01rec;ap42_02rec;ap42_03rec;ap42_04rec
1,65007E+14;46;2;1;46SF00001;2;10;4;2;1;1;1;2;4;1;1;1;-9;-9;-9;-9;-9;-9;2;3;3;2;2;1;4;2;2;2;1;1;2;1;3;6;5;2;4;3;2;-9;-9;3;1;2;2;2;2;2;1;1;1;4;1;1;-9;-9;-9;1;2;2;3;3;2;2;2;1;2;1;3;1;2;2;3;1;3;1;1;1;-9;-9;-9;-9;1;-9;-9;-9;1;-9;-9;-9;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;3;1;3;2;3;-9;-9;-9;1;-9;-9;1;-9;1;-9;1;1;1;1;-9;-9;1;1;1;1;-9;1;1;1;-9;1;1;-9;1;1;-9;1;-9;-9;4;4;3;3;1;1;2;3;2;1;3;3;3;3;2;3;3;3;3;2;3;1;1;2;2;-9;1;1;-9;-9;1;-9;1;3;1;1;1;2;2;2;2;1;1;1;3;2;2;4;1;1;2;1;2;1;3;2;-9;-9;-9;1;-9;-9;1;1;-9;2;3;2;3;2;2;2;5;4;1;2;4;2;1;2;2;2;1,2837332;1,2837332;1,2837332;4;1;706,61652;446,39749;2;1,323667803;3;1,32128607;3;1,320530992;3;2;2;1;2;2;2;2;2;2;1;3;2;3;2;17;1;1,233930316;3;2;2;2;2
1,65007E+14;46;2;1;46SF00275;13;1;5;2;1;1;1;2;1;1;-9;-9;-9;-9;-9;-9;-9;-9;2;2;3;1;2;2;1;2;2;2;1;1;2;2;2;4;5;1;1;1;2;3;1;2;1;3;1;1;2;2;1;1;1;4;-9;-9;-9;1;-9;1;3;3;3;4;3;2;1;1;1;1;1;1;2;3;3;-9;-9;-9;-9;1;-9;-9;1;-9;-9;1;-9;-9;-9;-9;-9;-9;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;3;2;4;4;4;-9;1;-9;-9;-9;-9;1;-9;1;-9;1;1;1;-9;-9;-9;-9;1;1;-9;-9;1;1;-9;1;1;1;-9;-9;1;1;1;1;1;4;3;4;2;2;3;2;3;3;3;3;2;4;4;2;2;4;4;4;3;4;1;1;1;3;-9;1;1;-9;-9;-9;-9;1;2;1;1;1;2;1;1;2;2;2;1;1;2;2;3;1;1;4;2;4;1;4;1;-9;-9;-9;-9;-9;-9;1;1;-9;3;3;2;3;2;3;1;4;4;1;3;4;1;1;1;2;3;1;1,0650232;1;4;1;704,34448;449,37106;4;0,035320063;2;0,031957885;2;0,030734592;2;2;2;1;1;2;2;2;2;2;2;3;1;1;2;17;1;1,233930316;3;2;2;2;1
1,65007E+14;46;2;1;46SF00275;9;11;4;1;1;1;1;2;4;1;1;1;-9;-9;-9;-9;-9;-9;2;3;4;3;2;2;4;3;2;2;1;1;2;1;4;5;4;1;4;1;1;3;1;2;1;1;1;1;4;1;1;1;1;2;1;1;-9;-9;-9;1;3;3;3;3;3;3;2;1;2;1;2;1;1;2;3;1;3;1;1;-9;-9;1;-9;-9;1;1;-9;1;-9;-9;-9;-9;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;3;3;4;4;4;4;-9;-9;-9;1;-9;-9;1;-9;1;-9;-9;1;1;-9;1;-9;1;1;1;1;-9;-9;1;-9;-9;-9;1;1;-9;1;-9;1;1;-9;4;4;3;3;1;1;3;4;3;3;3;3;3;3;2;3;3;3;2;3;3;2;2;2;2;-9;1;1;-9;-9;1;-9;-9;3;3;1;1;4;1;2;1;2;1;2;3;2;2;3;1;1;2;2;1;1;1;1;1;-9;-9;-9;-9;-9;1;-9;-9;3;3;2;2;2;2;1;5;4;2;4;5;1;1;1;4;1;1;1,0650232;1;4;2;692,13348;507,43018;6;0,980371359;2;0,978245732;2;0,977030721;2;2;1;1;1;1;2;2;2;2;2;2;1;1;2;17;1;1,233930316;3;2;2;2;2
1,65007E+14;46;2;1;46SF00001;5;2;5;2;1;1;1;2;5;1;1;1;-9;-9;-9;-9;-9;-9;2;3;4;3;2;2;3;2;1;2;1;1;1;2;3;5;4;1;1;2;1;-9;-9;2;2;2;1;1;3;3;1;1;1;4;-9;1;-9;-9;-9;-9;2;2;3;2;1;2;1;1;1;1;2;1;3;2;3;1;2;1;-9;1;-9;-9;1;-9;-9;1;-9;-9;-9;-9;-9;-9;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;3;2;3;2;3;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;1;1;-9;-9;1;-9;1;1;1;-9;1;1;-9;-9;-9;-9;-9;1;-9;1;-9;-9;-9;3;3;3;2;2;2;2;3;3;3;3;3;3;2;3;3;2;3;2;3;3;1;1;1;1;1;1;-9;1;-9;1;-9;-9;2;2;1;1;2;2;1;2;2;2;2;2;2;1;2;1;1;1;1;1;1;2;1;-9;-9;-9;-9;-9;-9;1;1;-9;3;3;3;3;3;2;2;4;3;1;4;4;2;1;2;1;1;1,2837332;1,2837332;1,2837332;4;2;675,84259;514,72302;5;0,980371359;2;0,978245732;2;0,977030721;2;2;2;1;2;2;2;2;2;2;2;3;2;3;2;17;1;1,233930316;3;2;2;2;2
1,65007E+14;46;2;1;46SF00275;7;4;5;2;1;1;1;2;3;1;-9;1;-9;-9;-9;-9;-9;-9;2;2;2;1;2;2;2;3;1;2;1;1;-9;1;3;5;6;2;4;-9;1;4;1;2;1;3;3;2;1;1;1;1;1;3;-9;-9;-9;1;-9;-9;2;3;2;2;4;3;2;1;2;1;2;1;2;1;2;1;1;1;-9;-9;-9;1;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;1;2;3;3;2;-9;-9;-9;1;-9;-9;1;-9;-9;-9;-9;1;1;-9;-9;-9;-9;-9;-9;-9;-9;1;-9;1;-9;-9;-9;-9;1;-9;1;1;-9;-9;3;3;3;4;4;4;2;4;4;3;3;2;3;3;3;2;2;3;2;3;2;1;1;2;1;1;1;1;1;-9;1;1;-9;2;1;1;1;3;1;2;1;2;2;1;2;2;1;3;1;1;2;1;2;1;3;3;1;-9;-9;-9;-9;-9;1;1;-9;1;3;3;2;4;2;3;5;3;2;3;5;2;1;1;3;1;1;1,0650232;1;4;3;665,55341;551,71948;4;1,318605295;3;1,31625992;3;1,315490935;3;2;1;1;1;1;2;2;2;2;2;3;1;1;2;17;1;1,233930316;3;2;2;2;2
1,65007E+14;46;2;1;46SF00275;3;5;5;1;1;1;1;2;3;1;1;1;-9;-9;-9;-9;-9;-9;2;3;3;2;2;1;3;2;1;2;1;1;-9;1;3;6;5;4;4;1;2;-9;-9;2;3;1;2;3;2;2;1;1;1;2;1;-9;-9;1;-9;1;3;3;3;3;2;3;1;1;1;1;2;1;3;3;3;1;3;1;-9;1;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;-9;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;4;3;4;3;2;4;-9;-9;-9;-9;-9;1;1;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;-9;-9;1;-9;1;-9;-9;1;-9;-9;1;-9;-9;4;3;4;3;2;1;3;3;4;1;3;3;3;3;4;3;3;4;3;3;2;2;2;1;2;-9;-9;-9;-9;-9;1;1;1;2;1;1;1;2;1;2;2;2;1;2;2;2;1;2;1;1;2;1;1;1;2;2;-9;-9;1;-9;1;-9;1;-9;-9;2;3;4;3;2;1;2;4;5;2;4;4;2;1;3;2;4;1;1,0650232;1;4;3;652,16467;565,68127;6;1,323667803;3;1,32128607;3;1,320530992;3;2;2;1;2;1;2;2;2;2;2;2;2;3;2;17;1;1,233930316;3;2;2;2;2
1,65007E+14;46;2;1;46SF00001;1;11;4;2;1;1;1;2;1;1;-9;-9;-9;-9;-9;-9;-9;-9;2;2;4;1;2;2;2;2;1;2;1;1;1;1;3;4;5;-9;-9;2;2;-9;-9;2;3;2;2;2;2;1;1;1;1;2;1;-9;-9;-9;-9;-9;3;2;3;3;2;2;2;1;2;1;3;1;2;2;3;1;3;1;1;-9;-9;-9;-9;-9;-9;1;-9;-9;-9;1;-9;-9;2;2;3;2;3;3;3;3;3;2;1;2;2;1;4;3;3;-9;-9;-9;1;-9;-9;1;-9;1;-9;1;1;1;-9;1;1;1;1;1;1;-9;1;1;1;-9;1;1;-9;1;1;-9;1;-9;1;4;4;3;2;1;2;3;3;3;2;3;3;3;2;2;3;3;3;3;2;3;1;1;2;2;-9;1;1;-9;1;1;1;1;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1,2837332;1,2837332;1,2837332;4;2;640,73999;531,30481;1;0,759299037;2;0,756786323;2;0,755506316;2;2;1;1;2;2;2;2;2;2;1;2;2;3;2;17;1;1,233930316;3;2;2;2;2
1,65007E+14;46;2;1;46SF00001;3;4;5;2;-9;-9;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;2;2;3;1;3;2;4;3;2;2;1;1;-9;1;2;7;2;4;4;2;2;1;1;1;2;1;4;1;2;2;1;1;1;3;-9;1;-9;-9;-9;-9;3;2;4;3;3;2;1;1;1;1;1;1;3;2;3;3;2;3;1;-9;-9;-9;-9;-9;-9;1;-9;-9;-9;1;-9;-9;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;3;1;4;4;2;-9;1;-9;-9;-9;-9;1;1;-9;-9;1;-9;-9;-9;1;1;-9;1;-9;1;-9;-9;1;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;3;3;3;3;3;3;4;4;3;2;4;2;2;3;2;3;2;2;2;3;2;1;1;1;3;-9;-9;-9;1;-9;1;1;-9;2;2;1;1;2;2;1;2;2;2;2;2;2;1;3;1;1;1;1;1;1;1;1;-9;-9;-9;-9;-9;-9;1;-9;-9;2;2;2;2;1;1;1;4;2;1;2;5;3;1;2;1;1;1,2837332;1,2837332;1,2837332;4;3;640,01831;599,73291;3;0,076706975;2;0,073627629;2;0,072317535;2;2;2;1;1;2;2;2;2;2;2;3;1;1;-9;17;1;1,233930316;3;2;2;2;1
1,65007E+14;46;2;1;46SF00001;6;1;5;2;1;1;1;2;3;1;1;1;-9;-9;-9;-9;-9;-9;2;2;3;2;2;2;4;3;1;2;1;1;1;-9;4;7;5;2;3;2;1;-9;-9;2;3;2;4;2;3;1;1;1;1;3;1;1;-9;-9;-9;-9;2;2;3;3;2;3;2;2;1;1;2;1;2;2;3;1;2;1;1;1;-9;-9;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;2;3;1;4;3;3;-9;-9;-9;1;-9;-9;1;-9;1;-9;1;1;1;1;1;1;1;-9;1;1;-9;1;1;-9;-9;-9;-9;-9;1;1;-9;1;1;1;3;4;3;2;3;3;3;3;4;2;4;2;2;2;3;3;3;4;4;3;3;1;1;1;1;-9;-9;1;-9;-9;1;1;-9;2;2;1;1;3;1;2;2;2;2;2;2;2;1;4;2;1;3;1;2;1;3;2;-9;-9;-9;-9;-9;-9;1;1;-9;2;3;3;3;3;2;2;4;3;1;2;5;2;1;3;3;1;1,2837332;1,2837332;1,2837332;3;1;636,04016;460,18561;6;1,539677617;3;1,53771933;3;1,53701534;3;2;1;1;2;1;2;2;2;2;2;3;2;3;2;17;1;1,233930316;3;2;2;2;2
1,65007E+14;46;2;1;46SF00275;4;8;4;1;1;1;1;2;2;1;-9;1;-9;-9;-9;-9;-9;-9;2;3;3;-9;-9;-9;-9;-9;-9;-9;1;1;2;1;3;5;4;3;3;3;1;-9;-9;3;1;1;1;2;1;1;1;1;1;2;1;-9;1;-9;-9;1;3;3;3;4;1;1;3;1;1;1;2;1;3;3;3;1;2;1;1;-9;-9;-9;-9;1;-9;-9;-9;-9;-9;-9;-9;-9;3;2;4;2;3;4;4;3;4;3;1;2;4;2;4;3;4;-9;-9;-9;-9;-9;1;1;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;-9;-9;1;-9;1;1;1;-9;-9;-9;-9;-9;-9;4;3;3;3;3;3;3;4;3;3;4;2;3;3;2;2;3;3;3;3;3;1;3;2;1;1;1;-9;-9;-9;1;-9;-9;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;1;1,0650232;1;3;2;617,7135;509,71057;1;0,764361544;2;0,761812473;2;0,760546373;2;2;1;1;2;2;1;2;2;2;2;2;2;3;2;17;1;1,233930316;3;2;1;2;2
